cml_id,sublink_id,device_name,site_0_lat,site_0_lon,site_0_elevation,site_0_altitude,site_1_lat,site_1_lon,site_1_elevation,site_1_altitude,frequency,frequency_units,length,polarization,tsl,rsl
11,sublink_1,nycmesh-2701-wavenano-648 ↔ nycmesh-648-wavenano-2701,40.647762,-74.000685,45.0,73.1,40.639672,-73.996487,,56.9,68040.0,MHz,966.7851345316916,sta-ptp,-35.0,-35.0
12,sublink_1,nycmesh-713-waveap-south ↔ nycmesh-2701-wavenano,40.657601,-74.005171,,76.3,40.647886,-74.000754,45.0,72.4,68040.0,MHz,1164.0,ap-ptmp,-56.0,-55.0
13,sublink_1,nycmesh-5916-waveap-northeast ↔ nycmesh-2482-af60lr,40.696036,-73.93963,,99.9,40.699694,-73.924387,,34.0,68040.0,MHz,1367.0,ap-ptmp,-59.0,-58.0
14,sublink_1,nycmesh-3461-waveap-south ↔ nycmesh-228-af60lr,40.672552,-73.964442,,98.2,40.660814,-73.960435,,43.4,68040.0,MHz,1344.00,ap-ptmp,-56.0,-51.0
15,sublink_1,nycmesh-7800-wavelr-584 ↔ nycmesh-584-wavelr-7800,40.815348,-73.950418,35.0,86.7,40.793635,-73.965735,,93.1,68040.0,MHz,2737.0168023409283,sta-ptp,-50.0,-50.0
16,sublink_1,nycmesh-713-waveap-south ↔ nycmesh-552-wavenano,40.657601,-74.005171,,76.3,40.649556,-74.003561,,76.5,68040.0,MHz,926.0,ap-ptmp,-56.0,-57.0
17,sublink_1,nycmesh-5916-east1 ↔ nycmesh-lbe-921,40.69607,-73.939677,,67.46,40.714537,-73.914361,,10.0,5710.0,MHz,3659.0,ap-ptmp-airmax-mixed,-72.0,-72.0
17,sublink_2,nycmesh-5916-east1 ↔ nycmesh-lbe-921,40.696036,-73.93963,,99.9,40.714514,-73.914362,,23.4,68040.0,MHz,3659.0,ap-ptmp,-59.0,-57.0
18,sublink_1,nycmesh-3461-waveap-south ↔ nycmesh-4507-af60lr,40.672552,-73.964442,,98.2,40.65553,-73.959146,,34.3,68040.0,MHz,1944.0,ap-ptmp,-56.0,-53.0
19,sublink_1,nycmesh-5916-waveap-northeast ↔ nycmesh-664-af60lr,40.696036,-73.93963,,99.9,40.705677,-73.915254,,39.2,68040.0,MHz,2326.0,ap-ptmp,-59.0,-66.0
20,sublink_1,nycmesh-713-waveapmicro-north ↔ nycmesh-1447-wavenano,40.658103,-74.004768,,59.3,40.659539,-73.997356,,51.0,68040.0,MHz,670.0,ap-ptmp,-57.0,-59.0
21,sublink_1,nycmesh-3461-waveap-north ↔ nycmesh-251-af60lr,40.672531,-73.964197,,0.0,40.680173,-73.963217,,47.0,66960.0,MHz,853.7610101146101,ap-ptmp,-55.0,-51.0
22,sublink_1,nycmesh-162-af60lr-1635 ↔ nycmesh-1635-af60lr-162,40.665054,-73.990438,,61.1,40.667634,-73.982433,33.0,54.0,66960.0,MHz,745.0,ap-ptp,-31.0,-33.0
23,sublink_1,nycmesh-5916-waveap-south ↔ nycmesh-155-af60lr,40.696113,-73.939843,,90.0,40.679826,-73.942373,18.0,50.1,66960.0,MHz,1811.0,ap-ptmp,-59.0,-55.0
24,sublink_1,nycmesh-5916-waveap-west ↔ nycmesh-4126-af60lr,40.696153,-73.939618,,95.1,40.692256,-73.954504,,51.3,66960.0,MHz,1310.0,ap-ptmp,-60.0,-52.0
25,sublink_1,nycmesh-1933-waveap-east ↔ nycmesh-1167-wavelr,40.715592,-73.984405,,98.3,40.727485,-73.946144,4.0,24.6,66960.0,MHz,3500.0,ap-ptmp,-63.0,-65.0
26,sublink_1,nycmesh-5916-waveap-south ↔ nycmesh-219-af60lr,40.696113,-73.939843,,90.0,40.674366,-73.940325,23.0,48.6,66960.0,MHz,2410.0,ap-ptmp,-59.0,-56.0
27,sublink_1,nycmesh-1933-waveap-east ↔ nycmesh-255-af60lr,40.715592,-73.984405,,98.3,40.717822,-73.943667,,30.7,66960.0,MHz,3457.0,ap-ptmp,-63.0,-64.0
28,sublink_1,nycmesh-5916-waveap-west ↔ nycmesh-1779-af60lr,40.696153,-73.939618,,95.1,40.69404,-73.954797,23.0,0.0,66960.0,MHz,1286.0,ap-ptmp,-60.0,-54.0
29,sublink_1,nycmesh-3461-waveap-north ↔ nycmesh-177-af60lr,40.672531,-73.964197,,0.0,40.678119,-73.962457,,50.2,66960.0,MHz,638.4486930028892,ap-ptmp,-55.0,-48.0
30,sublink_1,nycmesh-5916-waveap-south ↔ nycmesh-3607-af60lr,40.696113,-73.939843,,90.0,40.682834,-73.945901,,33.2,66960.0,MHz,1563.0,ap-ptmp,-59.0,-53.0
31,sublink_1,nycmesh-1933-waveap-east ↔ nycmesh-2090-wavelr,40.715592,-73.984405,,98.3,40.72561,-73.954176,,23.6,66960.0,MHz,2793.0,ap-ptmp,-63.0,-60.0
32,sublink_1,nycmesh-5916-waveap-west ↔ ncymesh-430-af60lr,40.696153,-73.939618,,95.1,40.694918,-73.949413,23.0,33.8,66960.0,MHz,821.0,ap-ptmp,-60.0,-55.0
33,sublink_1,nycmesh-3461-waveap-north ↔ nycmesh-5134-af60lr,40.672531,-73.964197,,0.0,40.67352,-73.964083,,71.0,66960.0,MHz,110.3912369260654,ap-ptmp,-55.0,-61.0
34,sublink_1,nycmesh-5916-waveap-west ↔ nycmesh-436-af60lr,40.696153,-73.939618,,95.1,40.685986,-73.961279,23.0,41.3,66960.0,MHz,2136.0,ap-ptmp,-60.0,-70.0
